% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
220261 +3.944518423e+00 +3.944518423e+00 +8.160451842e+01 +7.766000000e+01 +2.3873e+00 -8.4427e-01 -2.1900e+00 +3.3575e+00 -2.4587e+00 -5.2229e-01 +5.9111e-01 +1.3240e-01 +1.7880e-01 -3.8411e+00 +2.9611e+00 +1.6644e-01 +2.7330e-01 -1.5991e+00 -2.8039e+00 +1.3673e+00 -3.0257e-01 -2.7624e+00 +2.7475e+00 -3.4492e+00
239286 +2.471992887e+00 +2.471992887e+00 +8.013199289e+01 +7.766000000e+01 +2.4143e+00 -8.4427e-01 -1.3138e+00 +3.3173e+00 -2.4736e+00 -1.3318e+00 +6.0854e-01 +1.1050e-01 +1.7920e-01 -3.8649e+00 +2.9563e+00 +1.6876e-01 +2.8683e-01 -1.6045e+00 -2.8162e+00 +1.3561e+00 -2.8758e-01 -2.7601e+00 +2.7595e+00 -3.4492e+00
280076 +1.465693767e+00 +1.465693767e+00 +7.912569377e+01 +7.766000000e+01 +2.3873e+00 -8.5108e-01 -1.3078e+00 +3.3575e+00 -2.4587e+00 -5.3346e-01 +5.8077e-01 +1.2310e-01 +1.7460e-01 -3.8607e+00 +2.9502e+00 +1.6157e-01 +2.9554e-01 -1.6014e+00 -2.8218e+00 +1.3673e+00 -2.8133e-01 -2.7577e+00 +2.7695e+00 -3.4608e+00
317474 +9.994063218e-01 +9.994063218e-01 +7.865940632e+01 +7.766000000e+01 +2.3870e+00 -8.5482e-01 -1.2750e+00 +3.3048e+00 -2.4587e+00 -5.3945e-01 +5.9111e-01 +1.3240e-01 +1.7880e-01 -3.8540e+00 +2.9611e+00 +1.6644e-01 +2.9687e-01 -1.5991e+00 -2.8185e+00 +1.3673e+00 -3.0017e-01 -2.7553e+00 +2.7567e+00 -3.4560e+00
322012 +5.428768673e-01 +5.428768673e-01 +7.820287687e+01 +7.766000000e+01 +2.4083e+00 -8.5108e-01 -1.2677e+00 +3.3241e+00 -2.4587e+00 -5.3346e-01 +5.8077e-01 +1.2310e-01 +1.7460e-01 -3.8607e+00 +2.9502e+00 +1.6157e-01 +2.9554e-01 -1.6014e+00 -2.8218e+00 +1.3673e+00 -2.9355e-01 -2.7577e+00 +2.7695e+00 -3.4492e+00
368425 +3.488529532e-01 +3.488529532e-01 +7.800885295e+01 +7.766000000e+01 +2.4083e+00 -8.5108e-01 -1.2677e+00 +3.3241e+00 -2.4587e+00 -5.3346e-01 +5.8077e-01 +1.2310e-01 +1.7460e-01 -3.8607e+00 +2.9502e+00 +1.4199e-01 +2.9554e-01 -1.6014e+00 -2.8218e+00 +1.3476e+00 -2.9355e-01 -2.7577e+00 +2.7695e+00 -3.4492e+00
437581 +2.091757192e-01 +2.091757192e-01 +7.786917572e+01 +7.766000000e+01 +2.4003e+00 -8.4427e-01 -1.2691e+00 +3.3173e+00 -2.4736e+00 -5.4642e-01 +5.8439e-01 +1.1739e-01 +1.6960e-01 -3.8649e+00 +2.9563e+00 +1.4869e-01 +2.9665e-01 -1.6045e+00 -2.8162e+00 +1.3561e+00 -2.9496e-01 -2.7560e+00 +2.7664e+00 -3.4512e+00
474371 +1.555991415e-01 +1.555991415e-01 +7.781559914e+01 +7.766000000e+01 +2.3873e+00 -8.5114e-01 -1.2802e+00 +3.3310e+00 -2.4587e+00 -5.3864e-01 +5.8690e-01 +1.1800e-01 +1.6572e-01 -3.8649e+00 +2.9563e+00 +1.4869e-01 +2.9665e-01 -1.6045e+00 -2.8162e+00 +1.3561e+00 -2.9496e-01 -2.7515e+00 +2.7664e+00 -3.4492e+00
526138 +9.844079996e-02 +9.844079996e-02 +7.775844080e+01 +7.766000000e+01 +2.3905e+00 -8.5851e-01 -1.2802e+00 +3.3192e+00 -2.4587e+00 -5.3864e-01 +5.8870e-01 +1.1800e-01 +1.6572e-01 -3.8649e+00 +2.9563e+00 +1.4869e-01 +2.9665e-01 -1.6045e+00 -2.8231e+00 +1.3561e+00 -2.9496e-01 -2.7515e+00 +2.7664e+00 -3.4532e+00
582041 +6.103778154e-02 +6.103778154e-02 +7.772103778e+01 +7.766000000e+01 +2.4003e+00 -8.5825e-01 -1.2691e+00 +3.3210e+00 -2.4736e+00 -5.3829e-01 +5.8439e-01 +1.1739e-01 +1.6960e-01 -3.8592e+00 +2.9563e+00 +1.4869e-01 +2.9665e-01 -1.6045e+00 -2.8202e+00 +1.3527e+00 -2.9496e-01 -2.7492e+00 +2.7676e+00 -3.4512e+00
634809 +3.642405990e-02 +3.642405990e-02 +7.769642406e+01 +7.766000000e+01 +2.4003e+00 -8.5825e-01 -1.2691e+00 +3.3210e+00 -2.4664e+00 -5.3864e-01 +5.8439e-01 +1.1739e-01 +1.6960e-01 -3.8592e+00 +2.9563e+00 +1.4869e-01 +2.9665e-01 -1.6045e+00 -2.8202e+00 +1.3527e+00 -2.9496e-01 -2.7492e+00 +2.7676e+00 -3.4512e+00
796317 +2.352190874e-02 +2.352190874e-02 +7.768352191e+01 +7.766000000e+01 +2.4010e+00 -8.5672e-01 -1.2722e+00 +3.3227e+00 -2.4609e+00 -5.3864e-01 +5.8690e-01 +1.1800e-01 +1.7207e-01 -3.8615e+00 +2.9546e+00 +1.5076e-01 +3.0016e-01 -1.6026e+00 -2.8191e+00 +1.3545e+00 -2.9574e-01 -2.7492e+00 +2.7664e+00 -3.4540e+00
836886 +1.481308191e-02 +1.481308191e-02 +7.767481308e+01 +7.766000000e+01 +2.3992e+00 -8.5573e-01 -1.2708e+00 +3.3243e+00 -2.4664e+00 -5.3928e-01 +5.8628e-01 +1.1751e-01 +1.6917e-01 -3.8592e+00 +2.9563e+00 +1.4869e-01 +2.9762e-01 -1.6034e+00 -2.8202e+00 +1.3543e+00 -2.9421e-01 -2.7494e+00 +2.7671e+00 -3.4528e+00
1036598 +9.451799712e-03 +9.451799712e-03 +7.766945180e+01 +7.766000000e+01 +2.3992e+00 -8.5573e-01 -1.2715e+00 +3.3243e+00 -2.4664e+00 -5.3928e-01 +5.9111e-01 +1.1751e-01 +1.6917e-01 -3.8592e+00 +2.9551e+00 +1.4869e-01 +2.9762e-01 -1.6034e+00 -2.8202e+00 +1.3543e+00 -2.9421e-01 -2.7494e+00 +2.7671e+00 -3.4528e+00
1193244 +5.639114057e-03 +5.639114057e-03 +7.766563911e+01 +7.766000000e+01 +2.3992e+00 -8.5614e-01 -1.2715e+00 +3.3237e+00 -2.4619e+00 -5.3897e-01 +5.8870e-01 +1.1543e-01 +1.7125e-01 -3.8611e+00 +2.9551e+00 +1.5089e-01 +2.9822e-01 -1.6014e+00 -2.8202e+00 +1.3543e+00 -2.9421e-01 -2.7494e+00 +2.7671e+00 -3.4528e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.457083291e+03 +3.457083291e+03 +3.572763291e+03 +1.156800000e+02 -4.5806e+00 -4.2924e+00 -2.3968e+00 +1.9564e+00 +4.9996e+00 +4.3006e+00 +1.0129e-02 +1.2071e+00 +2.1506e+00 +1.2954e+00 -3.1275e+00 -1.1672e+00 +4.2511e+00 +3.5305e+00 +2.7645e+00 +3.6602e+00 +4.3863e+00 +1.3190e+00 +2.4826e+00 -2.6326e+00
126 +5.819458021e+02 +5.819458021e+02 +6.976258021e+02 +1.156800000e+02 +4.9969e+00 +5.1235e-01 -8.8409e-01 -3.2731e+00 -3.5188e+00 -4.2840e+00 -1.9215e+00 -3.5600e+00 -4.8962e+00 -2.6128e+00 +1.0602e+00 -2.5940e+00 -1.5114e+00 -8.2585e-01 -2.0812e+00 -8.3425e-02 -3.8898e+00 +3.1310e+00 +3.3280e+00 +8.0975e-01
